x,y,z
0.3325312236041255,0.48738482998727056,0.7172914422647378
0.34623985334890334,0.5347660877788399,0.48702953026623613
0.2748244527993096,0.3467986203074948,0.5907934825614327
0.7136742195009704,0.36177938722906483,0.6079806126628067
0.6318292800942289,0.729730195802691,0.7049917873849629
0.3470855716936217,0.552559573732038,0.49381851848871217
0.3623743087637443,0.5248033439746583,0.49781900502884224
0.6111643061119941,0.7422235950519993,0.6768034467874426
0.31218064389129385,0.533100359437152,0.5129046196511532
0.6533443188801747,0.7457430915431426,0.697950558187061
0.29303959750716474,0.3709598115870633,0.6149306202002565
0.6279683470917327,0.750263285351253,0.695765172560535
0.3494298446037228,0.5194732601829787,0.4829811674452133
0.6114659979272002,0.7255077512317633,0.6893611517619423
0.3164774291749266,0.5076251212255797,0.7209497206857601
0.32446643661120905,0.4626864651090019,0.7517620903457028
0.709468130996954,0.32518252269359604,0.5897807448908686
0.21395999991970419,0.34733302925194387,0.5628406760865449
0.3125144565163779,0.4950178074142001,0.7153948509304662
0.6830045198465449,0.3426368023673987,0.5921858381870361
0.3472634106858,0.5325510890939031,0.49717559987571386
0.32618702940362615,0.5645812865493184,0.4787928229313896
0.3362129411064747,0.522512044785773,0.7175007037482615
0.3647313820407619,0.5767642046007488,0.4754773694332764
0.34241811509422915,0.4701877592426459,0.7179973997639396
0.6457617961832438,0.7235721227489766,0.7089386222099932
0.6016317212030216,0.7094139226963025,0.6955898705146578
0.5952708184163987,0.7059806132700134,0.7514855708081111
0.3070200610657448,0.5102124221684694,0.6950146959678289
0.3109045858223507,0.57114231056535,0.4603353533569178
0.36655574039662636,0.4992707322121986,0.4625096014750621
0.7196644516930453,0.3454371362367079,0.5890518180367759
0.6572872532382299,0.7466090629469939,0.7060880547858635
0.6251280973041736,0.7408232021203416,0.7476728217123249
0.33083525358430926,0.5007061463855087,0.6994675380328242
0.24139180642539448,0.36520211115025086,0.6012459852238733
0.31762799847362505,0.5507082454198585,0.45867826214807694
0.6979361976245124,0.37086260774013247,0.5927186607976883
0.6694735612908185,0.34793281227301054,0.6546975659642799
0.34612513719692467,0.5047217379482775,0.7118635655286991
0.6308465647529407,0.7213663185992607,0.6812477372347017
0.37718602201051843,0.5172897956048601,0.48175493824428134
0.7006615470295954,0.3708707902506081,0.6097130769723497
0.23747553472510474,0.4077980939486779,0.5783907783344434
0.25767320797887966,0.33152158965144435,0.5842015337912458
0.6287959867647196,0.7914480136501454,0.6948968374744892
0.25466363850706514,0.5682180061418607,0.44685574736508793
0.6200078743334032,0.7188498134804504,0.69788014206575
0.3360875049677784,0.4578280523174516,0.729372097716675
0.669590746074261,0.7608979656101329,0.6946732450938299
